22	10632126	10664662	1	1	1	1	0	69
22	10848028	10854003	1	1	1	0	1	74
22	10848028	10863721	1	1	1	0	1	65
22	10940708	10941688	2	2	1	1	0	33
22	10941781	10944966	2	2	1	6	0	39
22	10945054	10947303	2	2	1	2	0	49
22	10947419	10949211	2	2	1	7	0	52
22	10947419	10950048	2	2	1	4	0	59
22	10949270	10950048	2	2	1	5	0	58
22	10950175	10959066	2	2	1	5	1	64
22	10959137	10960277	2	2	1	1	0	41
22	10959137	10960331	2	2	1	2	0	66
22	10959137	10960993	2	2	0	1	0	33
22	10959137	10961282	2	2	1	1	0	41
22	10960432	10961282	2	2	1	3	0	45
22	11257473	11293238	2	2	1	1	0	26
22	11962833	12042200	2	2	1	2	0	57
22	12314920	12319406	2	2	1	0	8	67
22	12314920	12351351	2	2	1	0	8	67
22	12319093	12512635	1	1	1	0	3	61
22	12351516	12377817	2	2	1	0	3	61
22	12351516	12545677	2	2	1	0	3	61
22	12365599	12375536	1	1	1	1	0	61
22	12377896	12416733	2	2	1	1	0	64
22	12497685	12547520	2	2	1	0	1	30
22	12498924	12544282	2	2	1	0	1	25
22	12498924	12548754	2	2	1	0	1	25
22	12604740	12615408	1	1	1	0	1	31
22	12615535	12616313	1	1	1	2	0	58
22	12616372	12618170	1	1	1	2	0	12
22	12620939	12624241	1	1	1	4	1	23
22	12624334	12625316	1	1	1	5	0	53
22	15216222	15225210	2	2	1	0	2	68
22	15627414	15627646	2	2	1	1	0	56
22	15785447	15787171	1	1	1	1	0	49
22	15787283	15788551	1	1	1	3	0	59
22	15788700	15788819	1	1	1	3	0	56
22	15788932	15790660	1	1	1	6	0	41
22	15788932	15852989	1	1	1	2	0	61
22	15790799	15852989	1	1	1	6	0	66
22	15853222	15854668	1	1	1	2	0	20
22	15877449	15883425	1	1	1	0	1	74
22	15877449	15893136	1	1	1	0	1	65
22	16167576	16188153	1	1	1	0	2	68
22	16168027	16188604	2	2	1	1	1	48
22	16387840	16390135	1	1	1	2	0	56
22	16390496	16390640	1	1	1	2	0	65
22	16452954	16479614	2	2	1	0	1	13
22	16452954	16480562	2	2	1	0	1	13
22	16479799	16516472	2	2	1	1	0	65
